"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"1",17281,"Native",1,38,"continuation","rp","continuation rp",6,0,248,248,0.5,0.5
"2",17283,"Native",1,39,"continuation","rp","continuation rp",7,1,0,NA,0.5,0.5
"3",17285,"Native",1,26,"continuation","rp","continuation rp",6,1,0,NA,0.5,0.5
"4",17287,"Native",1,34,"continuation","rp","continuation rp",6,0,230,230,0.5,0.5
"5",17289,"Native",1,46,"continuation","rp","continuation rp",6,1,0,NA,0.5,0.5
"6",17291,"Native",1,29,"continuation","rp","continuation rp",5,1,0,NA,0.5,0.5
"7",17293,"Native",1,36,"continuation","rp","continuation rp",8,0,207,207,0.5,0.5
"8",17295,"Native",1,30,"continuation","rp","continuation rp",6,0,142,142,0.5,0.5
"9",17297,"Native",1,40,"continuation","rp","continuation rp",8,0,207,207,0.5,0.5
"10",17299,"Native",1,33,"continuation","rp","continuation rp",5,0,179,179,0.5,0.5
"11",17301,"Native",1,43,"continuation","rp","continuation rp",7,1,0,NA,0.5,0.5
"12",17303,"Native",1,28,"continuation","rp","continuation rp",8,0,237,237,0.5,0.5
"13",17305,"Native",1,31,"continuation","rp","continuation rp",7,0,333,333,0.5,0.5
"14",17307,"Native",1,45,"continuation","rp","continuation rp",5,0,251,251,0.5,0.5
"15",17309,"Native",1,25,"continuation","rp","continuation rp",5,0,206,206,0.5,0.5
"16",17311,"Native",1,41,"continuation","rp","continuation rp",5,1,0,NA,0.5,0.5
"17",17313,"Native",1,42,"continuation","rp","continuation rp",6,0,997,997,0.5,0.5
"18",17315,"Native",1,37,"continuation","rp","continuation rp",5,0,376,376,0.5,0.5
"19",17317,"Native",1,32,"continuation","rp","continuation rp",8,1,0,NA,0.5,0.5
"20",17319,"Native",1,48,"continuation","rp","continuation rp",8,1,0,NA,0.5,0.5
"21",17321,"Native",1,47,"continuation","rp","continuation rp",7,1,0,NA,0.5,0.5
"22",17323,"Native",1,44,"continuation","rp","continuation rp",8,1,0,NA,0.5,0.5
"23",17325,"Native",1,27,"continuation","rp","continuation rp",7,0,210,210,0.5,0.5
"24",17327,"Native",1,35,"continuation","rp","continuation rp",7,0,184,184,0.5,0.5
"25",17329,"Native",2,46,"continuation","rp","continuation rp",7,1,0,NA,0.5,0.5
"26",17331,"Native",2,25,"continuation","rp","continuation rp",6,1,0,NA,0.5,0.5
"27",17333,"Native",2,39,"continuation","rp","continuation rp",8,1,0,NA,0.5,0.5
"28",17335,"Native",2,38,"continuation","rp","continuation rp",7,0,794,794,0.5,0.5
"29",17337,"Native",2,30,"continuation","rp","continuation rp",7,1,0,NA,0.5,0.5
"30",17339,"Native",2,27,"continuation","rp","continuation rp",8,0,208,208,0.5,0.5
"31",17341,"Native",2,29,"continuation","rp","continuation rp",6,0,572,572,0.5,0.5
"32",17343,"Native",2,33,"continuation","rp","continuation rp",6,0,164,164,0.5,0.5
"33",17345,"Native",2,32,"continuation","rp","continuation rp",5,0,607,607,0.5,0.5
"34",17347,"Native",2,43,"continuation","rp","continuation rp",8,0,165,165,0.5,0.5
"35",17349,"Native",2,45,"continuation","rp","continuation rp",6,1,0,NA,0.5,0.5
"36",17351,"Native",2,48,"continuation","rp","continuation rp",5,1,0,NA,0.5,0.5
"37",17353,"Native",2,47,"continuation","rp","continuation rp",8,1,0,NA,0.5,0.5
"38",17355,"Native",2,31,"continuation","rp","continuation rp",8,1,0,NA,0.5,0.5
"39",17357,"Native",2,26,"continuation","rp","continuation rp",7,0,174,174,0.5,0.5
"40",17359,"Native",2,42,"continuation","rp","continuation rp",7,1,0,NA,0.5,0.5
"41",17361,"Native",2,36,"continuation","rp","continuation rp",5,0,607,607,0.5,0.5
"42",17363,"Native",2,35,"continuation","rp","continuation rp",8,1,0,NA,0.5,0.5
"43",17365,"Native",2,44,"continuation","rp","continuation rp",5,1,0,NA,0.5,0.5
